h,error
1,16.043
0.5,18.9117
0.25,21.4612
0.125,10.5509
0.0625,1.13747
0.03125,0.0813754
0.015625,0.00526013
0.0078125,0.000331535
0.00390625,2.07645e-05
0.00195312,1.29847e-06
0.000976562,8.11648e-08
0.000488281,5.07292e-09
0.000244141,3.17169e-10
0.00012207,1.98561e-11
6.10352e-05,1.14042e-12
3.05176e-05,3.8014e-13
1.52588e-05,1.8936e-12
7.62939e-06,4.7784e-12
3.8147e-06,1.14042e-12
1.90735e-06,1.56888e-11
9.53674e-07,7.16192e-11
