iteration,residual
0,96.94503216081269
1,16.159955397936706
2,2.694002876824313
3,0.4491163905045261
4,0.07486952572790581
5,0.012480310716857181
6,0.0020802283865866624
7,0.0003467002015824196
8,0.000057775969486779005
9,0.000009626829793391428
10,0.0000016038183450699183
11,0.0000002671504134451583
12,0.00000004449161980079262
13,0.000000007408249555025151
14,0.0000000012332591509623331
15,0.0000000002052590847742397
16,0.00000000003415942422382585
17,0.000000000005683565873953146
18,0.0000000000009425962953284881
