iteration,residual
0,1.9852864837709783
1,0.7152647059621576
2,0.23857018595076315
3,0.07966551738916208
4,0.039349897779991774
5,0.02575723470126404
6,0.009093763702866256
7,0.005803793286312191
8,0.002350378816347216
9,0.001608492039988668
10,0.0006853016522748859
11,0.00047674742070102823
12,0.00020503471265791265
13,0.00014291018471898262
14,0.0000615253718127359
15,0.000042891850561528314
16,0.000018467658268214197
17,0.000012874812395284437
18,0.000005543481304172979
19,0.000003864670987538217
20,0.0000016640051671090316
21,0.0000011600713386685617
22,0.000000499490103811912
