iteration,residual
0,15.86404509257248
1,2.2982127631414366
2,0.4501093290926365
3,0.1020882061292344
4,0.016453092254021747
5,0.004199647134453015
6,0.000630702504975583
7,0.0001678154673422504
8,0.00002478841347047732
9,0.000006724254737933649
10,0.000000990061776031765
11,0.00000027142047571930833
12,0.00000003976393631015323
13,0.000000010976289568076733
14,0.000000001612836447460292
15,0.0000000004474611883227887
16,0.00000000006556577226100173
17,0.00000000001826019379586568
18,0.000000000002679077569938323
19,0.0000000000007484608660455077
