iteration,residual
0,6.402038737777208
1,3.711584225098494
2,2.379357709503134
3,1.720400300221301
4,1.378250479915067
5,1.1745931791445239
6,1.0309190870678389
7,0.9160728006940467
8,0.8180336243947742
9,0.7318865462867429
10,0.6552958110400544
11,0.5868871347548701
12,0.5256773939448796
13,0.47087135995747004
14,0.421786105996712
15,0.3778200147936674
16,0.33843766374186374
17,0.30316063952345607
18,0.2715608089844898
19,0.24325480736363336
20,0.21789927864689468
21,0.19518667318230787
22,0.17484150437545593
23,0.15661700281178312
24,0.14029212162880772
25,0.1256688548902696
26,0.1125698357735736
27,0.10083618521049555
28,0.09032558480860974
29,0.08091055065266367
30,0.07247688703939754
31,0.06492230138784834
32,0.05815516352414137
33,0.05209339429167799
34,0.046663470006441235
35,0.0417995306823374
36,0.03744258121015167
37,0.03353977580114924
38,0.03004377701626869
39,0.02691218160654377
40,0.024107006200699062
41,0.02159422660180044
42,0.019343365105054078
43,0.017327120831279675
44,0.01552103859236561
45,0.013903212272336632
46,0.012454019126317703
47,0.011155881774695986
48,0.009993055005672801
49,0.008951434800332485
50,0.008018387263865629
51,0.007182595388054485
52,0.006433921786363989
53,0.00576328573678184
54,0.005162553041006426
55,0.004624437364108838
56,0.004142411857989813
57,0.0037106299967191226
58,0.003323854663557725
59,0.002977394629542404
60,0.0026670476532033877
61,0.002389049511233785
62,0.0021400283419270127
63,0.0019169637475977427
64,0.0017171501599338524
65,0.0015381640239459284
66,0.0013778344024667445
67,0.001234216644693977
68,0.0011055687993494691
69,0.0009903304864263063
70,0.0008871039712082114
71,0.0007946372110302836
72,0.000711808669162372
73,0.0006376137115929116
74,0.0005711524217449078
75,0.000511618685315975
76,0.0004582904128560273
77,0.00041052078148003964
78,0.0003677303895067099
79,0.000329400228848993
80,0.0002950653899216359
81,0.00026430942271523945
82,0.00023675928564572516
83,0.00021208082089241602
84,0.00018997470138400581
85,0.00017017280022872027
86,0.0001524349385823229
87,0.00013654597250142202
88,0.00012231318344597508
89,0.00010956394077917892
90,0.00009814360791423414
91,0.00008791366672332214
92,0.00007875003743007
93,0.00007054157364108148
94,0.00006318871424225992
95,0.000056602275814031246
96,0.00005070237091779092
97,0.00004541743913428207
98,0.00004068337910477939
99,0.000036442771035494316
100,0.000032644180251970076
101,0.000029241533341582365
102,0.000026193559327566178
103,0.000023463289092209233
104,0.00002101760696763043
105,0.000018826849079448023
106,0.000016864443548990515
107,0.000015106588204513853
108,0.000013531961877051306
109,0.000012121465798043345
110,0.000010857991946065477
111,0.000009726215548019896
112,0.000008712409196520459
113,0.000007804276353227857
114,0.000006990802202068056
115,0.000006262120049987136
116,0.000005609391653748699
117,0.000005024700017457268
118,0.000004500953369231559
119,0.000004031799143989165
120,0.0000036115469338056553
121,0.0000032350994653884466
122,0.000002897890776402516
123,0.000002595830837854809
124,0.0000023252559388742977
125,0.000002082884254412439
126,0.0000018657760404033642
127,0.0000016712979725433206
128,0.0000014970912128707813
129,0.0000013410427914121805
130,0.0000012012599857884986
131,0.0000010760473582076044
132,0.0000009638861954015133
