h,error
1,15.8073
0.5,19.2933
0.25,21.6662
0.125,8.71264
0.0625,0.329327
0.03125,0.0063937
0.015625,0.000105443
0.0078125,1.66989e-06
0.00390625,2.61801e-08
0.00195312,4.0939e-10
0.000976562,6.39844e-12
0.000488281,4.61853e-14
0.000244141,1.3145e-13
0.00012207,3.19744e-14
6.10352e-05,1.35003e-13
3.05176e-05,5.00933e-13
1.52588e-05,2.01439e-12
7.62939e-06,5.74474e-12
3.8147e-06,6.53699e-13
1.90735e-06,1.66587e-11
9.53674e-07,8.3265e-11
