h,error
1,0.107798
0.5,0.00548388
0.25,0.000127064
0.125,2.19621e-06
0.0625,3.51916e-08
0.03125,5.53342e-10
0.015625,8.65985e-12
0.0078125,1.37335e-13
0.00390625,1.66533e-16
0.00195312,1.22125e-15
0.000976562,1.44884e-14
0.000488281,6.66134e-16
0.000244141,8.64864e-14
0.00012207,5.12257e-13
6.10352e-05,1.38256e-12
3.05176e-05,9.27758e-13
1.52588e-05,2.50422e-12
7.62939e-06,5.1355e-12
3.8147e-06,2.05729e-11
1.90735e-06,3.76348e-11
9.53674e-07,1.92024e-11
