h,error
1,8.75226e-08
0.5,1.30152e-09
0.25,2.00899e-11
0.125,3.1361e-13
0.0625,7.18869e-15
0.03125,2.77556e-16
0.015625,1.38778e-15
0.0078125,3.34455e-15
0.00390625,2.23016e-14
0.00195312,1.2651e-13
0.000976562,2.97914e-13
0.000488281,1.03764e-13
0.000244141,2.40211e-13
0.00012207,2.27142e-12
6.10352e-05,3.85253e-12
3.05176e-05,3.05964e-12
1.52588e-05,1.11938e-12
7.62939e-06,2.02234e-11
3.8147e-06,7.3879e-11
1.90735e-06,4.08946e-11
9.53674e-07,1.33728e-10
